index,D_0__Archaea;D_1__Crenarchaeota,D_0__Archaea;D_1__Euryarchaeota,D_0__Archaea;D_1__Nanoarchaeaeota,D_0__Archaea;D_1__Thaumarchaeota,D_0__Archaea;__,D_0__Bacteria;D_1__Acidobacteria,D_0__Bacteria;D_1__Actinobacteria,D_0__Bacteria;D_1__AncK6,D_0__Bacteria;D_1__BRC1,D_0__Bacteria;D_1__Bacteroidetes,D_0__Bacteria;D_1__Calditrichaeota,D_0__Bacteria;D_1__Chlamydiae,D_0__Bacteria;D_1__Chloroflexi,D_0__Bacteria;D_1__Cyanobacteria,D_0__Bacteria;D_1__Dadabacteria,D_0__Bacteria;D_1__Deinococcus-Thermus,D_0__Bacteria;D_1__Dependentiae,D_0__Bacteria;D_1__Epsilonbacteraeota,D_0__Bacteria;D_1__Firmicutes,D_0__Bacteria;D_1__Gemmatimonadetes,D_0__Bacteria;D_1__Hydrogenedentes,D_0__Bacteria;D_1__Kiritimatiellaeota,D_0__Bacteria;D_1__Lentisphaerae,D_0__Bacteria;D_1__Margulisbacteria,D_0__Bacteria;D_1__Marinimicrobia (SAR406 clade),D_0__Bacteria;D_1__Nitrospinae,D_0__Bacteria;D_1__Nitrospirae,D_0__Bacteria;D_1__PAUC34f,D_0__Bacteria;D_1__Patescibacteria,D_0__Bacteria;D_1__Planctomycetes,D_0__Bacteria;D_1__Poribacteria,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Schekmanbacteria,D_0__Bacteria;D_1__Spirochaetes,D_0__Bacteria;D_1__Verrucomicrobia,D_0__Bacteria;D_1__WPS-2,D_0__Bacteria;__,D_0__Eukaryota;__,Unassigned;__,Full_Name,Depth,Cast
1112,0.0,510.0,177.0,4618.0,0.0,698.0,935.0,49.0,0.0,283.0,0.0,0.0,2501.0,484.0,95.0,163.0,0.0,0.0,565.0,175.0,0.0,77.0,119.0,0.0,1674.0,302.0,0.0,0.0,0.0,1178.0,0.0,9378.0,0.0,107.0,230.0,0.0,100.0,0.0,0.0,1112.0,1000.0,11.0
1116,10.0,605.0,89.0,2306.0,0.0,605.0,179.0,30.0,0.0,277.0,0.0,0.0,1239.0,137.0,11.0,0.0,0.0,0.0,20.0,216.0,0.0,33.0,55.0,5.0,1025.0,77.0,0.0,119.0,10.0,431.0,52.0,4595.0,30.0,0.0,214.0,0.0,68.0,0.0,11.0,1116.0,1400.0,11.0
112,0.0,0.0,0.0,0.0,0.0,0.0,2042.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1422.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,200.0,11.0
1122,0.0,664.0,372.0,6016.0,0.0,794.0,991.0,0.0,0.0,995.0,0.0,0.0,3194.0,291.0,535.0,0.0,0.0,0.0,965.0,98.0,0.0,0.0,93.0,0.0,468.0,151.0,0.0,124.0,0.0,971.0,0.0,10393.0,72.0,0.0,296.0,0.0,0.0,0.0,0.0,1122.0,2000.0,11.0
1124,0.0,704.0,291.0,1338.0,0.0,805.0,120.0,18.0,0.0,269.0,0.0,8.0,1378.0,75.0,0.0,8.0,0.0,0.0,23.0,149.0,0.0,30.0,42.0,17.0,1181.0,341.0,0.0,125.0,17.0,540.0,0.0,4633.0,39.0,0.0,215.0,0.0,93.0,48.0,0.0,1124.0,2200.0,11.0
116,36.0,1142.0,9.0,7570.0,0.0,1720.0,617.0,67.0,32.0,206.0,0.0,0.0,4992.0,174.0,189.0,77.0,0.0,0.0,23.0,300.0,0.0,118.0,7.0,39.0,2142.0,313.0,0.0,341.0,12.0,1436.0,162.0,12263.0,41.0,70.0,872.0,0.0,518.0,0.0,14.0,116.0,400.0,11.0
118,0.0,200.0,72.0,3063.0,0.0,707.0,736.0,51.0,0.0,61.0,0.0,0.0,1718.0,176.0,152.0,0.0,0.0,0.0,540.0,0.0,0.0,0.0,120.0,64.0,497.0,310.0,0.0,305.0,108.0,1021.0,0.0,5204.0,0.0,76.0,327.0,0.0,0.0,0.0,0.0,118.0,600.0,11.0
910,0.0,519.0,527.0,2467.0,31.0,1747.0,185.0,56.0,6.0,523.0,49.0,0.0,4699.0,18.0,175.0,21.0,0.0,0.0,78.0,416.0,0.0,209.0,109.0,25.0,823.0,469.0,0.0,438.0,209.0,2776.0,56.0,7417.0,107.0,107.0,678.0,0.0,293.0,0.0,16.0,910.0,3200.0,9.0
912,0.0,412.0,291.0,1426.0,0.0,1245.0,216.0,35.0,0.0,317.0,18.0,0.0,2464.0,32.0,0.0,0.0,0.0,0.0,11.0,92.0,0.0,127.0,105.0,6.0,937.0,276.0,0.0,235.0,110.0,1466.0,19.0,5691.0,0.0,79.0,339.0,0.0,200.0,0.0,16.0,912.0,3400.0,9.0
914,0.0,535.0,572.0,2972.0,35.0,1463.0,315.0,50.0,0.0,529.0,51.0,0.0,3609.0,0.0,0.0,0.0,0.0,0.0,175.0,385.0,25.0,137.0,110.0,60.0,1065.0,396.0,12.0,363.0,124.0,1756.0,0.0,7367.0,49.0,103.0,673.0,0.0,307.0,0.0,0.0,914.0,3600.0,9.0
