Strain,Replicate,Condition,Day ,Date,Cell Count,,,,,,,,,,,,,,,,AVG/SQ,Multiplication Factor,Cell Density,OD,,,,,,,,,,,
H,1,MX,0,2020-07-06,1,4,2,3,3,4,5,4,0,4,0,4,3,1,2,2,3,1.00E+04,2.63E+04,0.052,,,,,,,,,,,
H,2,MX,0,2020-07-06,4,4,1,4,5,4,3,0,2,7,3,3,2,2,2,2,3,1.00E+04,3.00E+04,0.034,,,,,,,,,,,
H,3,MX,0,2020-07-06,2,3,3,0,3,3,3,5,2,2,4,0,3,5,1,1,3,1.00E+04,2.50E+04,0.077,,,,,,,,,,,
Y,1,MX,0,2020-07-06,7,3,7,2,5,6,7,3,4,8,5,4,5,3,3,3,5,1.00E+04,4.69E+04,0.075,,,,,,,,,,,
Y,2,MX,0,2020-07-06,9,4,2,5,3,4,5,6,7,3,8,7,2,6,3,7,5,1.00E+04,5.06E+04,0.09,,,,,,,,,,,
Y,3,MX,0,2020-07-06,3,6,4,5,3,1,5,1,1,3,8,4,2,3,3,4,4,1.00E+04,3.50E+04,0.066,,,,,,,,,,,
K,1,MX,0,2020-07-06,1,3,3,1,1,5,0,1,10,2,4,3,5,11,1,2,3,1.00E+04,3.31E+04,0.079,,,,,,,,,,,
K,2,MX,0,2020-07-06,2,7,3,2,2,4,6,2,7,2,2,5,5,6,3,2,4,1.00E+04,3.75E+04,0.087,,,,,,,,,,,
K,3,MX,0,2020-07-06,1,1,8,2,0,2,7,4,1,0,0,5,2,2,6,2,3,1.00E+04,2.69E+04,0.028,,,,,,,,,,,
H,1,MX,3,2020-07-09,8,12,9,7,13,6,12,13,11,12,12,16,12,13,21,8,12,1.00E+04,1.16E+05,0.245,,,,,,,,,,,
H,2,MX,3,2020-07-09,5,21,15,9,5,8,14,14,2,11,13,12,15,20,7,6,11,1.00E+04,1.11E+05,0.183,,,,,,,,,,,
H,3,MX,3,2020-07-09,13,13,11,16,14,12,10,22,11,13,11,11,7,6,19,12,13,1.00E+04,1.26E+05,0.155,,,,,,,,,,,
Y,1,MX,3,2020-07-09,14,21,25,15,17,21,20,13,21,13,9,13,16,13,19,11,16,1.00E+04,1.63E+05,0.239,,,,,,,,,,,
Y,2,MX,3,2020-07-09,21,18,12,20,19,23,15,22,11,25,27,18,18,14,17,16,19,1.00E+04,1.85E+05,0.315,,,,,,,,,,,
Y,3,MX,3,2020-07-09,17,9,7,18,20,13,16,11,17,19,17,17,13,12,15,15,15,1.00E+04,1.48E+05,0.269,,,,,,,,,,,
K,1,MX,3,2020-07-09,26,30,36,20,31,23,41,29,35,30,31,34,29,32,25,30,30,1.00E+04,3.01E+05,0.411,,,,,,,,,,,
K,2,MX,3,2020-07-09,12,12,21,12,11,22,21,15,16,21,16,9,19,23,13,15,16,1.00E+04,1.61E+05,0.307,,,,,,,,,,,
K,3,MX,3,2020-07-09,5,9,21,15,14,15,13,7,7,8,9,13,5,11,9,8,11,1.00E+04,1.06E+05,0.128,,,,,,,,,,,
H,1,MX,6,2020-07-12,23,24,11,26,25,38,20,24,26,20,24,27,26,23,25,20,24,1.00E+04,2.39E+05,0.434,,,,,,,,,,,
H,2,MX,6,2020-07-12,19,18,30,16,22,27,18,27,27,25,20,25,13,17,15,22,21,1.00E+04,2.15E+05,0.411,,,,,,,,,,,
H,3,MX,6,2020-07-12,27,18,25,21,26,19,21,27,25,34,20,28,18,19,29,22,23,1.00E+04,2.35E+05,0.41,,,,,,,,,,,
Y,1,MX,6,2020-07-12,23,21,26,14,13,24,29,20,17,13,18,19,27,13,13,23,19,1.00E+04,1.93E+05,0.402,,,,,,,,,,,
Y,2,MX,6,2020-07-12,25,19,22,33,14,20,22,22,21,32,25,20,28,31,31,31,25,1.00E+04,2.47E+05,0.414,,,,,,,,,,,
Y,3,MX,6,2020-07-12,25,17,24,24,22,28,37,19,31,26,21,23,42,21,26,22,26,1.00E+04,2.55E+05,0.384,,,,,,,,,,,
K,1,MX,6,2020-07-12,39,56,45,51,48,31,48,47,41,44,46,51,40,64,43,34,46,1.00E+04,4.59E+05,0.692,,,,,,,,,,,
